Key,en,es,ar
Hospital Package Deleted Successfully!,Hospital Package Deleted Successfully!,Paquete del hospital eliminado con éxito!,حزمة المستشفى تم حذفها بنجاح!
The edit price field is required.,The edit price field is required.,Se requiere el campo de precio de edición.,حقل سعر التحرير مطلوب.
Website Subscribers,Website Subscribers,Suscriptores del sitio web,مشتركي الموقع
Send Mail to All,Send Mail to All,Enviar correo a todos,أرسل البريد إلى الجميع
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,أرسل بريدًا إلى جميع المشتركين
Details,Details,Detalles,تفاصيل
Write Subject,Write Subject,Escribir sujeto,اكتب الموضوع
The message field is required.,The message field is required.,Se requiere el campo de mensaje.,حقل الرسالة مطلوب.
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Mail Send Failed! Please try again.,Mail Send Failed! Please try again.,Envíe el correo fallido! Inténtalo de nuevo.,فشل إرسال البريد! حاول مرة اخرى.
Mail successfully sended,Mail successfully sended,Correo enviado con éxito,تم إرسال البريد بنجاح
Reply,Reply,Responder,رد
Created At,Created At,Creado en,أنشئت في
Replyed,Replyed,Respondido,رد
Not Replyed,Not Replyed,No respondido,لم ترد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada con éxito!,رد أرسل بنجاح!
Appointments,Appointments,Equipo,تعيينات
Patient Information,Patient Information,Información del paciente,معلومات المريض
Patient Number,Patient Number,Número de paciente,رقم المريض
User Details,User Details,Detalles de usuario,بيانات المستخدم
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Login Logs,Login Logs,Iniciar sesión,سجلات تسجيل الدخول
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Information of User,Information of User,Información del usuario,معلومات المستخدم
User Status,User Status,Estatus de usuario,حالة المستخدم
2FA Verification,2FA Verification,Verificación de 2FA,2FA التحقق
Verified,Verified,Verificado,تم التحقق
Banned,Banned,Prohibido,محظور
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول
Generate,Generate,Generar,يولد
Select Role,Select Role,Rol de selección,حدد الدور
The username field is required.,The username field is required.,Se requiere el campo de nombre de usuario.,حقل اسم المستخدم مطلوب.
The role field is required.,The role field is required.,Se requiere el campo de roles.,حقل الدور مطلوب.
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado con éxito!,تم إنشاء مسؤول جديد بنجاح!
Permission Group,Permission Group,Grupo de permisos,مجموعة الإذن
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Permission Name,Permission Name,Nombre de permiso,اسم إذن
Role Name,Role Name,Nombre de rol,اسم الدور
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا
SL NO,SL NO,SI. NO,SL. لا
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Site Title,Site Title,Título del sitio,عنوان الموقع
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP
Seconds,Seconds,Segundos,ثوان
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Secure Password,Secure Password,Contraseña segura,كلمة مرور تأمين
Agree Policy,Agree Policy,Política de acuerdo,توافق على السياسة
Force SSL,Force SSL,Forzar SSL,قوة SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,إلغاء تنشيطه
Basic settings status updated successfully!,Basic settings status updated successfully!,Estado de configuración básica actualizada correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Logo,Logo,Logo,شعار
Favicon,Favicon,Favicón,فافيكون
Light Version,Light Version,Version ligera,نسخة خفيفة
Dark Version,Dark Version,Versión oscura,نسخة مظلمة
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محرك البحث (SEO)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
App Version,App Version,Version de aplicacion,نسخة التطبيق
Splash screen updated successfully!,Splash screen updated successfully!,¡Pantalla de salpicaduras actualizada con éxito!,تم تحديث شاشة دفقة بنجاح!
Title,Title,Título,عنوان
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla a bordo agregada con éxito!,أضيفت الشاشة على متن الطائرة بنجاح!
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,¡Estado de la pantalla a bordo actualizado correctamente!.,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,Información de pantalla a bordo actualizada correctamente!,تم تحديث معلومات الشاشة على متن الطائرة بنجاح!
The image field is required.,The image field is required.,Se requiere el campo de la imagen.,حقل الصورة مطلوب.
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada con éxito!,تم حذف الشاشة بنجاح!
Android App URL,Android App URL,URL de la aplicación Android,عنوان URL لتطبيق Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS
URL settings updated successfully!,URL settings updated successfully!,Configuración de URL actualizada con éxito!,تحديث إعدادات URL بنجاح!
Import,Import,Importar,يستورد
Download,Download,Descargar,تحميل
Selectable,Selectable,Seleccionable,يمكن اختياره
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!
Language deleted successfully!,Language deleted successfully!,Lenguaje eliminado con éxito!,تم حذف اللغة بنجاح!
The code field is required.,The code field is required.,Se requiere el campo de código.,حقل الكود مطلوب.
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة
Language updated successfully!,Language updated successfully!,¡Lenguaje actualizado con éxito!,تم تحديث اللغة بنجاح!
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Encriptación,التشفير
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Send,Send,Enviar,يرسل
Information updated successfully!,Information updated successfully!,Información actualizada con éxito!,تم تحديث المعلومات بنجاح!
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!
Language File,Language File,Archivo de idiomas,ملف اللغة
Heading,Heading,Título,عنوان
Add Slider,Add Slider,Agregar control deslizante,أضف شريط التمرير
Sub Heading,Sub Heading,Subtendente,العنوان الفرعي
Section item added successfully!,Section item added successfully!,Artículo de sección agregado correctamente!,تم إضافة عنصر القسم بنجاح!
Section item deleted successfully!,Section item deleted successfully!,Sección Artículo eliminado con éxito!,تم حذف عنصر القسم بنجاح!
Edit Slider,Edit Slider,Editar control deslizante,تحرير شريط التمرير
About Section,About Section,Acerca de la sección,حول القسم
Section Title,Section Title,Sección de título,عنوان القسم
Video Link,Video Link,Enlace de video,رابط الفيديو
Counter Title,Counter Title,Contrario,عنوان العداد
Counter Title Value,Counter Title Value,Valor del título de contador,عداد قيمة العنوان
Section updated successfully!,Section updated successfully!,Sección actualizada con éxito!,تم تحديث القسم بنجاح!
Add Item,Add Item,Añadir artículo,اضافة عنصر
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Add FAQ,Add FAQ,Agregar preguntas frecuentes,إضافة الأسئلة الشائعة
Question,Question,Pregunta,سؤال
Answer,Answer,Respuesta,إجابة
Add New Faq,Add New Faq,Agregar nuevas preguntas frecuentes,أضف الأسئلة الشائعة الجديدة
Edit Solution,Edit Solution,Solución de edición,تحرير الحل
Add Testimonial,Add Testimonial,Agregar testimonio,إضافة شهادة
Edit Testimonial,Edit Testimonial,Editar testimonio,تحرير شهادة
Comment,Comment,Comentario,تعليق
Ratings(Max 5),Ratings(Max 5),Calificaciones (máx 5),تقييمات (كحد أقصى 5)
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة
The rating must not be greater than 5.,The rating must not be greater than 5.,La calificación no debe ser mayor de 5.,يجب ألا يكون التصنيف أكبر من 5.
The en sub title field is required.,The en sub title field is required.,Se requiere el campo EN Sub Title.,حقل العنوان الفرعي مطلوب.
The en heading field is required.,The en heading field is required.,Se requiere el campo de encabezado EN.,مطلوب حقل العنوان.
The en sub heading field is required.,The en sub heading field is required.,Se requiere el campo de encabezado EN Sub.,مطلوب حقل العنوان الفرعي.
The es title field is required.,The es title field is required.,Se requiere el campo de título de ES.,حقل عنوان ES مطلوب.
The es heading field is required.,The es heading field is required.,Se requiere el campo de encabezado de ES.,حقل عنوان ES مطلوب.
The es sub heading field is required.,The es sub heading field is required.,Se requiere el campo de encabezado ES Sub.,مطلوب حقل العنوان الفرعي ES.
The ar title field is required.,The ar title field is required.,Se requiere el campo de título AR.,حقل عنوان AR مطلوب.
The ar heading field is required.,The ar heading field is required.,Se requiere el campo de encabezado AR.,حقل عنوان AR مطلوب.
The ar sub heading field is required.,The ar sub heading field is required.,Se requiere el campo de encabezado AR Sub.,حقل العنوان الفرعي AR مطلوب.
The ar comment field is required.,The ar comment field is required.,Se requiere el campo de comentarios de AR.,حقل التعليق AR مطلوب.
The es comment field is required.,The es comment field is required.,Se requiere el campo de comentarios de ES.,حقل التعليق ES مطلوب.
The en comment field is required.,The en comment field is required.,Se requiere el campo de comentarios EN.,حقل التعليق EN مطلوب.
The en answer field is required.,The en answer field is required.,Se requiere el campo de respuesta EN.,حقل الإجابة مطلوب.
The en question field is required.,The en question field is required.,Se requiere el campo de la pregunta EN.,حقل أسئلة EN مطلوب.
The es question field is required.,The es question field is required.,Se requiere el campo de la pregunta ES.,حقل أسئلة ES مطلوب.
The es answer field is required.,The es answer field is required.,Se requiere el campo de respuesta ES.,حقل الإجابة ES مطلوب.
The ar question field is required.,The ar question field is required.,Se requiere el campo de preguntas AR.,حقل أسئلة AR مطلوب.
The ar answer field is required.,The ar answer field is required.,Se requiere el campo de respuesta AR.,حقل الإجابة AR مطلوب.
The en answer edit field is required.,The en answer edit field is required.,Se requiere el campo de edición de respuesta EN.,مطلوب حقل تحرير الإجابة.
The en question edit field is required.,The en question edit field is required.,Se requiere el campo de edición de la pregunta EN.,مطلوب حقل تحرير أسئلة EN.
The es question edit field is required.,The es question edit field is required.,Se requiere el campo de edición de preguntas de ES.,حقل تحرير أسئلة ES مطلوب.
The es aswer edit field is required.,The es aswer edit field is required.,Se requiere el campo de edición de ES ASWER.,مطلوب حقل تحرير ES ASWER.
The ar question edit field is required.,The ar question edit field is required.,Se requiere el campo de edición de preguntas AR.,حقل تحرير أسئلة AR مطلوب.
The ar answer edit field is required.,The ar answer edit field is required.,Se requiere el campo de edición de respuesta AR.,مطلوب حقل تحرير AR Ars.
The en comment edit field is required.,The en comment edit field is required.,Se requiere el campo de edición de comentarios EN.,مطلوب حقل تحرير التعليق.
The es comment edit field is required.,The es comment edit field is required.,Se requiere el campo de edición de comentarios de ES.,مطلوب حقل تحرير التعليق ES.
The ar comment edit field is required.,The ar comment edit field is required.,Se requiere el campo de edición de comentarios AR.,حقل تحرير التعليق AR مطلوب.
How Its Work Section,How Its Work Section,Cómo su sección de trabajo,كيف قسم عملها
Add Step,Add Step,Agregar paso,أضف خطوة
The ar item title field is required.,The ar item title field is required.,Se requiere el campo de título del artículo AR.,حقل عنوان العنصر AR مطلوب.
The en item title field is required.,The en item title field is required.,Se requiere el campo de título de elemento ES.,حقل عنوان العنصر EN مطلوب.
The es item title field is required.,The es item title field is required.,Se requiere el campo de título del artículo ES.,حقل عنوان العنصر ES مطلوب.
The ar item title edit field is required.,The ar item title edit field is required.,Se requiere el campo de edición de título del elemento AR.,مطلوب حقل تحرير عنوان العنصر AR.
The en item title edit field is required.,The en item title edit field is required.,Se requiere el campo de edición de título de elemento ES.,مطلوب حقل تحرير عنوان العنصر EN.
The es item title edit field is required.,The es item title edit field is required.,Se requiere el campo de edición de título del elemento ES.,مطلوب حقل تحرير عنوان العنصر ES.
Edit Items,Edit Items,Editar elementos,تعديل البنود
Web Journal Section,Web Journal Section,Sección de diario web,قسم مجلة الويب
Web Journal Dashboard,Web Journal Dashboard,Panel de revista web,لوحة تحكم مجلة الويب
Add New Journal,Add New Journal,Agregar un nuevo diario,أضف مجلة جديدة
Active Journals,Active Journals,Revistas activas,المجلات النشطة
Deactive Journals,Deactive Journals,Diarios desactivos,المجلات اللطيفة
New Journal Create,New Journal Create,Nuevo diario crea,مجلة جديدة إنشاء
Icon,Icon,Icono,أيقونة
Journal created successfully!,Journal created successfully!,Revista creada con éxito!,تم إنشاء مجلة بنجاح!
Journal Edit Page,Journal Edit Page,Página de edición de diario,مجلة تحرير صفحة
Journal Data Updated Successfully.,Journal Data Updated Successfully.,Datos de revista actualizados con éxito.,تم تحديث بيانات المجلة بنجاح.
Journal deleted successfully!,Journal deleted successfully!,Journal eliminado con éxito!,تم حذف المجلة بنجاح!
The en description field is required.,The en description field is required.,Se requiere el campo de descripción EN.,حقل الوصف EN مطلوب.
The es description field is required.,The es description field is required.,Se requiere el campo de descripción de ES.,حقل وصف ES مطلوب.
The ar description field is required.,The ar description field is required.,Se requiere el campo de descripción AR.,حقل وصف AR مطلوب.
The en icon field is required.,The en icon field is required.,Se requiere el campo EN icon.,مطلوب حقل الأيقونة.
The es icon field is required.,The es icon field is required.,Se requiere el campo de icono ES.,حقل أيقونة ES مطلوب.
The ar icon field is required.,The ar icon field is required.,Se requiere el campo de icono AR.,مطلوب حقل أيقونة AR.
Communication,Communication,Comunicación,تواصل
Communication Icon,Communication Icon,Icono de comunicación,أيقونة الاتصال
Contact Info,Contact Info,Datos de contacto,معلومات الاتصال
Link,Link,Enlace,وصلة
Social Links,Social Links,vínculos sociales,روابط اجتماعية
News Letter Section,News Letter Section,Sección de la carta de noticias,قسم الرسائل الإخبارية
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Page Name,Page Name,Nombre de la página,اسم الصفحة
Update Extension,Update Extension,Extensión de actualización,تمديد تحديث
Instructions,Instructions,Instrucciones,تعليمات
Slug,Slug,Babosa,سبيكة
Action,Action,Acción,فعل
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificación de push del navegador,تكوين إشعار دفع المتصفح
Method,Method,Método,طريقة
Instance ID,Instance ID,ID de instancia,معرف مثيل
Primary key,Primary key,Clave primaria,المفتاح الأساسي
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/ notificación interna,تكوين الإذاعة/ الإخطار الداخلي
APP ID,APP ID,ID de aplicación,معرف التطبيق
Secret key,Secret key,Llave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡Configuración de transmisión actualizada con éxito!,تم تحديث تكوين البث بنجاح!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡Push Notification Configuration actualizada con éxito!,دفع تكوين إشعار تم تحديثه بنجاح!
Edit Usefull Link,Edit Usefull Link,Editar enlace útil,تحرير رابط مفيد
Usefull link updated successfully!,Usefull link updated successfully!,¡Enlace útil actualizado con éxito!,رابط مفيد تم تحديثه بنجاح!
Add Link,Add Link,Añadir enlace,إضافة رابط
Content,Content,Contenido,محتوى
Usefull link deleted successfully!,Usefull link deleted successfully!,¡Enlace útil eliminado con éxito!,رابط مفيد تم حذفه بنجاح!
Usefull link added successfully!,Usefull link added successfully!,¡Enlace útil agregado con éxito!,رابط مفيدة أضيفت بنجاح!
Use for make page link (URL),Use for make page link (URL),Usar para hacer el enlace de página (URL),استخدم لجعل رابط الصفحة (URL)
The en content field is required.,The en content field is required.,Se requiere el campo de contenido EN.,حقل المحتوى EN مطلوب.
The es content field is required.,The es content field is required.,Se requiere el campo de contenido de ES.,حقل محتوى ES مطلوب.
The ar content field is required.,The ar content field is required.,Se requiere el campo de contenido AR.,حقل محتوى AR مطلوب.
The slug field is required.,The slug field is required.,Se requiere el campo de la babosa.,حقل الرخوة مطلوب.
Notification Body,Notification Body,Cuerpo de notificación,هيئة الإخطار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
The body field is required.,The body field is required.,Se requiere el campo del cuerpo.,حقل الجسم مطلوب.
Body,Body,Cuerpo,جسم
Policy Link,Policy Link,Enlace de política,رابط السياسة
Cookie information updated successfully!,Cookie information updated successfully!,¡Información de cookies actualizada con éxito!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
Server Information,Server Information,información del servidor,معلومات الخادم
Version,Version,Versión,إصدار
Timezone,Timezone,Zona horaria,وحدة زمنية
App Environment,App Environment,Entorno de aplicaciones,بيئة التطبيق
App Debug,App Debug,Depurar la aplicación,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,قاعدة بيانات قاعدة البيانات
PHP Version,PHP Version,Versión php,إصدار PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برنامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Developed by,Developed by,Desarrollado por,طورت بواسطة
Appdevs,Appdevs,Appdevs,appdevs
Cache Clear Successfully!,Cache Clear Successfully!,"¡Cache, claro con éxito!",ذاكرة التخزين المؤقت واضح بنجاح!
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,معلومات الملف الشخصي تحديث بنجاح!
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
search Here,Search Here,Busca aquí,ابحث هنا
Prescription,Prescription,Prescripción,روشتة
Send Prescription,Send Prescription,Enviar receta,أرسل وصفة طبية
pdf,pdf,pdf,بي دي إف
Payment Method,Payment Method,Método de pago,طريقة الدفع او السداد
Automatic Payment Method,Automatic Payment Method,Método de pago automático,طريقة الدفع التلقائي
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة
Add Automatic Gateway,Add Automatic Gateway,Agregar puerta de enlace automática,إضافة بوابة تلقائية
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas compatibles,العملات المدعومة
Generate Fields,Generate Fields,Generar campos,توليد الحقول
Value,Value,Valor,قيمة
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة
Crypto,Crypto,Cripto,تشفير
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة بوابة
Production,Production,Producción,إنتاج
Sandbox,Sandbox,Salvadera,صندوق الرمل
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير
Global Setting for,Global Setting for,Escenario global para,الإعداد العالمي ل
in bellow,in bellow,a la derecha,في دار العالي
Total Supported Currency,Total Supported Currency,Moneda total compatible,إجمالي العملة المدعومة
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,أقصى
Charge,Charge,Cargar,تكلفة
Fixed,Fixed,Fijado,مُثَبَّت
Percent,Percent,Por ciento,نسبه مئويه
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de entrada ya ha sido tomado.,تم بالفعل أخذ اسم البوابة.
Payment gateway added successfully!,Payment gateway added successfully!,¡PAGO GIERTWAY agregado con éxito!,وأضاف بوابة الدفع بنجاح!
Payment gateway status updated successfully!,Payment gateway status updated successfully!,Estado de la pasarela de pago actualizado correctamente!,تم تحديث حالة بوابة الدفع بنجاح!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡Falló la carga de imagen! Inténtalo de nuevo.,فشل تحميل الصورة! حاول مرة اخرى.
Payment gateway updated successfully!,Payment gateway updated successfully!,¡Pase de pasar por la pasarela actualizada con éxito!,تم تحديث بوابة الدفع بنجاح!
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pague pasarela eliminada con éxito!,تم حذف بوابة الدفع بنجاح!
Automatic Payment Method Edit,Automatic Payment Method Edit,Método de pago automático Editar,تحرير طريقة الدفع التلقائي
Appointment Booking Charges,Appointment Booking Charges,Cargos de reserva de citas,رسوم حجز المواعيد
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Porcentaje de cargo,تكلفة في المئة
Charge Updated Successfully!,Charge Updated Successfully!,¡Cargo actualizado con éxito!,تم تحديث الرسوم بنجاح!
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
All,All,Todo,الجميع
Sender,Sender,Remitente,مرسل
Hospital Package status updated successfully!,Hospital Package status updated successfully!,Estado del paquete del hospital actualizado con éxito!,حالة حزمة المستشفى تم تحديثها بنجاح!
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar,هل أنت متأكد من إزالته
Admin Roles,Admin Roles,Roles de administración,أدوار المشرف
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا
Edit Role,Edit Role,Rol de edición,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este papel?,هل أنت متأكد من حذف هذا الدور؟
Admin information updated successfully!,Admin information updated successfully!,Información de administración actualizada con éxito!,معلومات المسؤول تحديث بنجاح!
Admin status updated successfully!,Admin status updated successfully!,Estado de administrador actualizado con éxito!,تم تحديث حالة المسؤول بنجاح!
Admin role created successfully!,Admin role created successfully!,¡Rol de administración creado con éxito!,تم إنشاء دور المسؤول بنجاح!
Admin role updated successfully!,Admin role updated successfully!,¡Rol de administración actualizado con éxito!,تم تحديث دور المسؤول بنجاح!
Admin role deleted successfully!,Admin role deleted successfully!,¡Rol de administración eliminado con éxito!,تم حذف دور المسؤول بنجاح!
Type Here,Type Here,Escriba aquí,أكتب هنا
Choose One,Choose One,Elige uno,اختر واحدة
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos contra este papel.,هل أنت متأكد من حذف هذا الإذن؟ كما ستحذف جميع الأذونات ضد هذا الدور.
Permission created successfully!,Permission created successfully!,¡Permiso creado con éxito!,إذن تم إنشاؤه بنجاح!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado con éxito!,تم تحديث إذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado con éxito!,تم حذف إذن بنجاح!
Web Version,Web Version,Versión web,إصدار الويب
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
Register Section,Register Section,Sección de registro,قسم التسجيل
Payable Amount,Payable Amount,Cantidad a pagar,مبلغ مستحق الدفع
Select Payment Method,Select Payment Method,Seleccionar método de pago,اختار طريقة الدفع
Cash Payment,Cash Payment,Pago en efectivo,دفع نقدا
Online Payment,Online Payment,Pago en línea,الدفع الالكتروني
Language switch successfully!,Language switch successfully!,¡Cambio de idioma con éxito!,تبديل اللغة بنجاح!
Setup Page status updated successfully!,Setup Page status updated successfully!,Estado de la página de configuración actualizado correctamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Select City,Select City,Ciudad selecta,اختر مدينة
Select State,Select State,Seleccione estado,اختر ولايه
Patient Email,Patient Email,Correo electrónico del paciente,بريد إلكتروني للمريض
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة حل
All Ticket,All Ticket,Todo el boleto,كل التذاكر
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
View All,View All,Ver todo,عرض الكل
Mark as Solved,Mark as Solved,Marca como se resuelve,علامة كما تم حلها
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,هل أنت متأكد من أن تحل كما تم حلها (الرمز المميز:
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه غير قابل للعكس.
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este boleto está resuelto, no puede enviar un mensaje en este momento.",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن.
Select Language,Select Language,Seleccione el idioma,اختار اللغة
Paypal,Paypal,Paypal,باي بال
Stripe,Stripe,Raya,شريط
Flutterwave,Flutterwave,Onda de aleteo,موجة الرفرفة
SSLCommerz,SSLCommerz,SSL Comercial,إس إس إل كوميرز
Perfect Money,Perfect Money,dinero perfecto,مال مناسب
Razorpay,Razorpay,Razonpay,رازورباي
CoinGate,CoinGate,Coingado,كينغات
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة
enterOldPassword,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة
booked,Booked,Reservada,حجز
pending,Pending,Pendiente,قيد الانتظار
rejected,Rejected,Rechazada,مرفوض
Payment Method Information,Payment Method Information,Información del método de pago,معلومات طريقة الدفع
somethingWentWrong!,Something went Wrong!,¡algo salió mal!,هناك خطأ ما!
